Tarih,MGM_Gerçek,AgroFrost_Tahmin,Durum
29-01-2021,-4.0°C,-6.2°C,✅ DOĞRULANDI
30-01-2021,-6.7°C,-6.6°C,✅ DOĞRULANDI
01-02-2021,-0.5°C,-0.8°C,✅ DOĞRULANDI
04-02-2021,-0.5°C,-1.1°C,✅ DOĞRULANDI
06-02-2021,-1.6°C,-0.6°C,✅ DOĞRULANDI
07-02-2021,-1.7°C,-1.8°C,✅ DOĞRULANDI
11-02-2021,-2.1°C,-2.6°C,✅ DOĞRULANDI
13-02-2021,-4.0°C,-1.5°C,✅ DOĞRULANDI
14-02-2021,-3.9°C,-4.2°C,✅ DOĞRULANDI
15-02-2021,-3.0°C,-2.3°C,✅ DOĞRULANDI
16-02-2021,-6.0°C,-6.5°C,✅ DOĞRULANDI
18-02-2021,-14.4°C,-12.5°C,✅ DOĞRULANDI
20-02-2021,-9.0°C,-8.7°C,✅ DOĞRULANDI
21-02-2021,-9.6°C,-8.4°C,✅ DOĞRULANDI
22-02-2021,-9.5°C,-9.7°C,✅ DOĞRULANDI
23-02-2021,-7.4°C,-8.3°C,✅ DOĞRULANDI
24-02-2021,-3.5°C,-6.1°C,✅ DOĞRULANDI
26-02-2021,-3.3°C,-4.7°C,✅ DOĞRULANDI
27-02-2021,-3.6°C,-4.8°C,✅ DOĞRULANDI
28-02-2021,-3.1°C,-3.7°C,✅ DOĞRULANDI
01-03-2021,-2.1°C,-4.1°C,✅ DOĞRULANDI
02-03-2021,-3.4°C,-6.0°C,✅ DOĞRULANDI
04-03-2021,-2.0°C,-2.5°C,✅ DOĞRULANDI
05-03-2021,-5.9°C,-4.0°C,✅ DOĞRULANDI
06-03-2021,-2.5°C,-3.9°C,✅ DOĞRULANDI
07-03-2021,-2.6°C,-2.4°C,✅ DOĞRULANDI
08-03-2021,-2.3°C,-4.1°C,✅ DOĞRULANDI
09-03-2021,-2.1°C,-4.1°C,✅ DOĞRULANDI
10-03-2021,-0.7°C,-2.3°C,✅ DOĞRULANDI
12-03-2021,-2.6°C,-1.2°C,✅ DOĞRULANDI
13-03-2021,-4.1°C,-6.4°C,✅ DOĞRULANDI
18-03-2021,-1.2°C,-1.3°C,✅ DOĞRULANDI
19-03-2021,-2.7°C,-2.1°C,✅ DOĞRULANDI
24-03-2021,-1.0°C,-0.6°C,✅ DOĞRULANDI
25-03-2021,-3.0°C,-5.6°C,✅ DOĞRULANDI
26-03-2021,-4.0°C,-6.2°C,✅ DOĞRULANDI
28-03-2021,-2.9°C,-3.9°C,✅ DOĞRULANDI
29-03-2021,-2.4°C,-2.6°C,✅ DOĞRULANDI
10-04-2021,-2.5°C,-4.7°C,✅ DOĞRULANDI
12-11-2021,-4.5°C,-3.8°C,✅ DOĞRULANDI
13-11-2021,-6.2°C,-4.6°C,✅ DOĞRULANDI
14-11-2021,-2.4°C,-4.1°C,✅ DOĞRULANDI
17-11-2021,-3.4°C,-1.1°C,✅ DOĞRULANDI
22-11-2021,-2.0°C,-0.9°C,✅ DOĞRULANDI
02-12-2021,-4.3°C,-1.5°C,✅ DOĞRULANDI
03-12-2021,-4.0°C,-3.6°C,✅ DOĞRULANDI
09-12-2021,-0.8°C,-1.7°C,✅ DOĞRULANDI
10-12-2021,-2.0°C,-1.8°C,✅ DOĞRULANDI
17-12-2021,-0.6°C,-3.1°C,✅ DOĞRULANDI
18-12-2021,-1.4°C,-4.1°C,✅ DOĞRULANDI
19-12-2021,-2.0°C,-3.6°C,✅ DOĞRULANDI
20-12-2021,-6.0°C,-3.3°C,✅ DOĞRULANDI
21-12-2021,-5.0°C,-6.0°C,✅ DOĞRULANDI
23-12-2021,-14.0°C,-12.3°C,✅ DOĞRULANDI
25-12-2021,-17.1°C,-16.9°C,✅ DOĞRULANDI
26-12-2021,-11.8°C,-14.6°C,✅ DOĞRULANDI
29-12-2021,-2.0°C,-3.7°C,✅ DOĞRULANDI
01-01-2022,-4.9°C,-2.6°C,✅ DOĞRULANDI
03-01-2022,-2.8°C,-1.3°C,✅ DOĞRULANDI
04-01-2022,-1.8°C,-4.1°C,✅ DOĞRULANDI
05-01-2022,-3.4°C,-3.0°C,✅ DOĞRULANDI
06-01-2022,-0.1°C,-2.6°C,✅ DOĞRULANDI
13-01-2022,-2.0°C,-1.5°C,✅ DOĞRULANDI
14-01-2022,-6.0°C,-5.7°C,✅ DOĞRULANDI
15-01-2022,-9.3°C,-9.3°C,✅ DOĞRULANDI
17-01-2022,-8.4°C,-8.0°C,✅ DOĞRULANDI
18-01-2022,-6.1°C,-8.6°C,✅ DOĞRULANDI
19-01-2022,-6.7°C,-8.1°C,✅ DOĞRULANDI
20-01-2022,-11.6°C,-10.6°C,✅ DOĞRULANDI
21-01-2022,-12.4°C,-12.6°C,✅ DOĞRULANDI
23-01-2022,-7.0°C,-4.3°C,✅ DOĞRULANDI
24-01-2022,-11.0°C,-9.5°C,✅ DOĞRULANDI
25-01-2022,-12.0°C,-12.2°C,✅ DOĞRULANDI
26-01-2022,-12.2°C,-13.0°C,✅ DOĞRULANDI
27-01-2022,-14.0°C,-12.0°C,✅ DOĞRULANDI
29-01-2022,-22.1°C,-19.1°C,✅ DOĞRULANDI
04-02-2022,-2.0°C,-2.8°C,✅ DOĞRULANDI
05-02-2022,-6.7°C,-5.5°C,✅ DOĞRULANDI
06-02-2022,-7.2°C,-8.4°C,✅ DOĞRULANDI
07-02-2022,-8.2°C,-7.0°C,✅ DOĞRULANDI
09-02-2022,-1.0°C,-1.3°C,✅ DOĞRULANDI
10-02-2022,-3.0°C,-5.2°C,✅ DOĞRULANDI
11-02-2022,-7.2°C,-7.6°C,✅ DOĞRULANDI
12-02-2022,-9.3°C,-8.5°C,✅ DOĞRULANDI
13-02-2022,-7.1°C,-8.5°C,✅ DOĞRULANDI
14-02-2022,-5.1°C,-7.4°C,✅ DOĞRULANDI
16-02-2022,-4.3°C,-4.6°C,✅ DOĞRULANDI
17-02-2022,-5.5°C,-5.3°C,✅ DOĞRULANDI
18-02-2022,-4.0°C,-6.6°C,✅ DOĞRULANDI
25-02-2022,-1.0°C,-0.2°C,✅ DOĞRULANDI
03-03-2022,-1.0°C,-3.4°C,✅ DOĞRULANDI
04-03-2022,-5.2°C,-4.8°C,✅ DOĞRULANDI
05-03-2022,-4.1°C,-6.6°C,✅ DOĞRULANDI
07-03-2022,-2.3°C,-2.1°C,✅ DOĞRULANDI
10-03-2022,-2.4°C,-4.0°C,✅ DOĞRULANDI
11-03-2022,-6.0°C,-6.6°C,✅ DOĞRULANDI
12-03-2022,-8.8°C,-9.9°C,✅ DOĞRULANDI
15-03-2022,-5.0°C,-6.5°C,✅ DOĞRULANDI
16-03-2022,-7.5°C,-7.5°C,✅ DOĞRULANDI
18-03-2022,-5.0°C,-4.3°C,✅ DOĞRULANDI
19-03-2022,-9.0°C,-7.7°C,✅ DOĞRULANDI
24-03-2022,-2.3°C,-4.9°C,✅ DOĞRULANDI
25-03-2022,-3.1°C,-4.5°C,✅ DOĞRULANDI
27-03-2022,-4.7°C,-3.4°C,✅ DOĞRULANDI
28-03-2022,-2.2°C,-3.3°C,✅ DOĞRULANDI
29-03-2022,-0.8°C,-1.1°C,✅ DOĞRULANDI
13-04-2022,-2.3°C,-2.0°C,✅ DOĞRULANDI
14-04-2022,-3.0°C,-2.6°C,✅ DOĞRULANDI
15-11-2022,-2.0°C,-0.5°C,✅ DOĞRULANDI
16-11-2022,-1.4°C,-2.2°C,✅ DOĞRULANDI
17-11-2022,-1.7°C,-1.4°C,✅ DOĞRULANDI
27-11-2022,-2.0°C,-1.5°C,✅ DOĞRULANDI
28-11-2022,-3.8°C,-2.4°C,✅ DOĞRULANDI
30-11-2022,-0.2°C,-0.4°C,✅ DOĞRULANDI
07-12-2022,-2.8°C,-1.6°C,✅ DOĞRULANDI
08-12-2022,-2.4°C,-3.0°C,✅ DOĞRULANDI
09-12-2022,-1.4°C,-2.3°C,✅ DOĞRULANDI
10-12-2022,-1.7°C,-2.2°C,✅ DOĞRULANDI
18-12-2022,-1.7°C,-0.4°C,✅ DOĞRULANDI
19-12-2022,-1.1°C,-0.8°C,✅ DOĞRULANDI
21-12-2022,-2.2°C,-4.8°C,✅ DOĞRULANDI
27-12-2022,-4.0°C,-1.4°C,✅ DOĞRULANDI
28-12-2022,-4.6°C,-3.7°C,✅ DOĞRULANDI
29-12-2022,-5.4°C,-4.3°C,✅ DOĞRULANDI
30-12-2022,-5.8°C,-5.3°C,✅ DOĞRULANDI
31-12-2022,-6.3°C,-6.3°C,✅ DOĞRULANDI
01-01-2023,-5.5°C,-5.9°C,✅ DOĞRULANDI
02-01-2023,-7.3°C,-6.4°C,✅ DOĞRULANDI
03-01-2023,-8.4°C,-8.0°C,✅ DOĞRULANDI
04-01-2023,-12.1°C,-9.6°C,✅ DOĞRULANDI
05-01-2023,-10.5°C,-10.9°C,✅ DOĞRULANDI
06-01-2023,-9.2°C,-11.5°C,✅ DOĞRULANDI
08-01-2023,-6.0°C,-5.5°C,✅ DOĞRULANDI
10-01-2023,-8.7°C,-7.2°C,✅ DOĞRULANDI
12-01-2023,-1.0°C,-3.3°C,✅ DOĞRULANDI
13-01-2023,-4.2°C,-3.4°C,✅ DOĞRULANDI
14-01-2023,-5.2°C,-4.9°C,✅ DOĞRULANDI
15-01-2023,-5.4°C,-5.4°C,✅ DOĞRULANDI
17-01-2023,-5.0°C,-2.9°C,✅ DOĞRULANDI
18-01-2023,-1.7°C,-3.6°C,✅ DOĞRULANDI
19-01-2023,-3.3°C,-2.5°C,✅ DOĞRULANDI
20-01-2023,-5.2°C,-4.0°C,✅ DOĞRULANDI
21-01-2023,-3.5°C,-4.2°C,✅ DOĞRULANDI
22-01-2023,-4.1°C,-5.0°C,✅ DOĞRULANDI
23-01-2023,-4.1°C,-4.8°C,✅ DOĞRULANDI
24-01-2023,-4.2°C,-4.8°C,✅ DOĞRULANDI
25-01-2023,-3.8°C,-5.0°C,✅ DOĞRULANDI
26-01-2023,-8.0°C,-6.7°C,✅ DOĞRULANDI
29-01-2023,-1.8°C,-3.8°C,✅ DOĞRULANDI
31-01-2023,-2.1°C,-5.0°C,✅ DOĞRULANDI
01-02-2023,-3.0°C,-5.3°C,✅ DOĞRULANDI
02-02-2023,-6.6°C,-6.7°C,✅ DOĞRULANDI
03-02-2023,-9.6°C,-7.3°C,✅ DOĞRULANDI
04-02-2023,-5.2°C,-8.0°C,✅ DOĞRULANDI
05-02-2023,-5.4°C,-6.9°C,✅ DOĞRULANDI
07-02-2023,-4.0°C,-7.0°C,✅ DOĞRULANDI
08-02-2023,-7.0°C,-9.2°C,✅ DOĞRULANDI
09-02-2023,-11.4°C,-10.9°C,✅ DOĞRULANDI
10-02-2023,-10.5°C,-11.2°C,✅ DOĞRULANDI
11-02-2023,-8.0°C,-10.2°C,✅ DOĞRULANDI
12-02-2023,-9.0°C,-8.8°C,✅ DOĞRULANDI
13-02-2023,-12.0°C,-9.9°C,✅ DOĞRULANDI
15-02-2023,-11.2°C,-13.7°C,✅ DOĞRULANDI
17-02-2023,-11.6°C,-9.2°C,✅ DOĞRULANDI
18-02-2023,-11.0°C,-10.8°C,✅ DOĞRULANDI
20-02-2023,-5.0°C,-6.9°C,✅ DOĞRULANDI
21-02-2023,-4.0°C,-5.2°C,✅ DOĞRULANDI
22-02-2023,-4.0°C,-5.3°C,✅ DOĞRULANDI
23-02-2023,-2.7°C,-4.5°C,✅ DOĞRULANDI
25-02-2023,-2.2°C,-2.4°C,✅ DOĞRULANDI
26-02-2023,-2.3°C,-2.0°C,✅ DOĞRULANDI
07-03-2023,-2.0°C,-1.7°C,✅ DOĞRULANDI
30-03-2023,-3.3°C,-4.4°C,✅ DOĞRULANDI
31-03-2023,-6.4°C,-6.8°C,✅ DOĞRULANDI
20-11-2023,-1.5°C,-3.2°C,✅ DOĞRULANDI
21-11-2023,-0.1°C,-3.0°C,✅ DOĞRULANDI
22-11-2023,-0.4°C,-1.4°C,✅ DOĞRULANDI
28-11-2023,-5.5°C,-5.2°C,✅ DOĞRULANDI
14-12-2023,-2.6°C,-0.7°C,✅ DOĞRULANDI
18-12-2023,-2.7°C,-2.3°C,✅ DOĞRULANDI
19-12-2023,-4.7°C,-5.1°C,✅ DOĞRULANDI
20-12-2023,-4.5°C,-4.9°C,✅ DOĞRULANDI
21-12-2023,-1.5°C,-4.3°C,✅ DOĞRULANDI
26-12-2023,-1.4°C,-1.9°C,✅ DOĞRULANDI
27-12-2023,-1.3°C,-2.0°C,✅ DOĞRULANDI
29-12-2023,-3.3°C,-1.8°C,✅ DOĞRULANDI
30-12-2023,-4.0°C,-4.1°C,✅ DOĞRULANDI
31-12-2023,-1.8°C,-4.7°C,✅ DOĞRULANDI
01-01-2024,-2.5°C,-2.8°C,✅ DOĞRULANDI
12-01-2024,-1.0°C,-2.3°C,✅ DOĞRULANDI
13-01-2024,-2.2°C,-3.1°C,✅ DOĞRULANDI
14-01-2024,-5.3°C,-5.6°C,✅ DOĞRULANDI
15-01-2024,-6.1°C,-5.7°C,✅ DOĞRULANDI
22-01-2024,-1.0°C,-1.4°C,✅ DOĞRULANDI
23-01-2024,-2.1°C,-5.1°C,✅ DOĞRULANDI
24-01-2024,-4.0°C,-5.9°C,✅ DOĞRULANDI
25-01-2024,-8.0°C,-6.1°C,✅ DOĞRULANDI
27-01-2024,-1.9°C,-4.4°C,✅ DOĞRULANDI
28-01-2024,-2.4°C,-4.4°C,✅ DOĞRULANDI
29-01-2024,-3.0°C,-5.3°C,✅ DOĞRULANDI
30-01-2024,-3.3°C,-6.3°C,✅ DOĞRULANDI
01-02-2024,-3.0°C,-5.4°C,✅ DOĞRULANDI
02-02-2024,-5.9°C,-5.5°C,✅ DOĞRULANDI
03-02-2024,-5.8°C,-5.4°C,✅ DOĞRULANDI
04-02-2024,-4.9°C,-5.4°C,✅ DOĞRULANDI
05-02-2024,-2.0°C,-4.4°C,✅ DOĞRULANDI
07-02-2024,-3.0°C,-0.1°C,✅ DOĞRULANDI
10-02-2024,-4.0°C,-1.4°C,✅ DOĞRULANDI
15-02-2024,-1.0°C,-0.6°C,✅ DOĞRULANDI
17-02-2024,-0.4°C,-0.9°C,✅ DOĞRULANDI
20-02-2024,-1.4°C,-1.7°C,✅ DOĞRULANDI
21-02-2024,-2.5°C,-2.0°C,✅ DOĞRULANDI
23-02-2024,-2.0°C,-1.6°C,✅ DOĞRULANDI
24-02-2024,-0.8°C,-1.3°C,✅ DOĞRULANDI
25-02-2024,-0.7°C,-0.7°C,✅ DOĞRULANDI
28-02-2024,-0.1°C,-0.3°C,✅ DOĞRULANDI
29-02-2024,-0.3°C,-0.1°C,✅ DOĞRULANDI
05-03-2024,-1.2°C,-0.4°C,✅ DOĞRULANDI
08-03-2024,-1.0°C,-1.4°C,✅ DOĞRULANDI
10-03-2024,-0.4°C,-1.8°C,✅ DOĞRULANDI
11-03-2024,-4.0°C,-2.5°C,✅ DOĞRULANDI
12-03-2024,-0.8°C,-1.9°C,✅ DOĞRULANDI
14-03-2024,-0.1°C,-0.0°C,✅ DOĞRULANDI
22-03-2024,-3.5°C,-3.1°C,✅ DOĞRULANDI
23-03-2024,-4.1°C,-4.7°C,✅ DOĞRULANDI
24-03-2024,-4.9°C,-4.4°C,✅ DOĞRULANDI
25-03-2024,-2.6°C,-2.2°C,✅ DOĞRULANDI
27-11-2024,-5.2°C,-6.4°C,✅ DOĞRULANDI
29-11-2024,-1.4°C,-3.2°C,✅ DOĞRULANDI
30-11-2024,-4.2°C,-2.9°C,✅ DOĞRULANDI
01-12-2024,-4.0°C,-4.4°C,✅ DOĞRULANDI
02-12-2024,-6.0°C,-5.3°C,✅ DOĞRULANDI
13-12-2024,-0.7°C,-0.2°C,✅ DOĞRULANDI
14-12-2024,-1.9°C,-3.7°C,✅ DOĞRULANDI
15-12-2024,-6.0°C,-5.0°C,✅ DOĞRULANDI
18-12-2024,-3.3°C,-2.6°C,✅ DOĞRULANDI
19-12-2024,-3.8°C,-3.9°C,✅ DOĞRULANDI
28-12-2024,-0.2°C,-1.1°C,✅ DOĞRULANDI
01-01-2025,-2.0°C,-2.2°C,✅ DOĞRULANDI
